FIPS,Year,State,FIPS State,County,Population,"Estimated Age-adjusted Death Rate, 16 Categories (in ranges)"
1001,1999,Alabama,1,"Autauga County, AL",42963,2-3.9
1001,2000,Alabama,1,"Autauga County, AL",44021,4-5.9
1001,2001,Alabama,1,"Autauga County, AL",44889,4-5.9
1001,2002,Alabama,1,"Autauga County, AL",45909,4-5.9
1001,2003,Alabama,1,"Autauga County, AL",46800,4-5.9
1001,2004,Alabama,1,"Autauga County, AL",48366,4-5.9
1001,2005,Alabama,1,"Autauga County, AL",49676,4-5.9
1001,2006,Alabama,1,"Autauga County, AL",51328,6-7.9
1001,2007,Alabama,1,"Autauga County, AL",52405,6-7.9
1001,2008,Alabama,1,"Autauga County, AL",53277,6-7.9
1001,2009,Alabama,1,"Autauga County, AL",54135,6-7.9
1001,2010,Alabama,1,"Autauga County, AL",54660,8-9.9
1001,2011,Alabama,1,"Autauga County, AL",55253,8-9.9
1001,2012,Alabama,1,"Autauga County, AL",55175,8-9.9
1001,2013,Alabama,1,"Autauga County, AL",55038,8-9.9
1001,2014,Alabama,1,"Autauga County, AL",55290,10-11.9
1001,2015,Alabama,1,"Autauga County, AL",55347,10-11.9
1001,2016,Alabama,1,"Autauga County, AL",55416,10-11.9
1003,1999,Alabama,1,"Baldwin County, AL",137555,6-7.9
1003,2000,Alabama,1,"Baldwin County, AL",141342,6-7.9
1003,2001,Alabama,1,"Baldwin County, AL",144875,8-9.9
1003,2002,Alabama,1,"Baldwin County, AL",147957,8-9.9
1003,2003,Alabama,1,"Baldwin County, AL",151509,8-9.9
1003,2004,Alabama,1,"Baldwin County, AL",156266,10-11.9
1003,2005,Alabama,1,"Baldwin County, AL",162183,10-11.9
1003,2006,Alabama,1,"Baldwin County, AL",168121,10-11.9
1003,2007,Alabama,1,"Baldwin County, AL",172404,12-13.9
1003,2008,Alabama,1,"Baldwin County, AL",175827,12-13.9
1003,2009,Alabama,1,"Baldwin County, AL",179406,14-15.9
1003,2010,Alabama,1,"Baldwin County, AL",183193,14-15.9
1003,2011,Alabama,1,"Baldwin County, AL",186659,14-15.9
1003,2012,Alabama,1,"Baldwin County, AL",190396,16-17.9
1003,2013,Alabama,1,"Baldwin County, AL",195126,16-17.9
1003,2014,Alabama,1,"Baldwin County, AL",199713,18-19.9
1003,2015,Alabama,1,"Baldwin County, AL",203709,20-21.9
1003,2016,Alabama,1,"Baldwin County, AL",208563,20-21.9
1005,1999,Alabama,1,"Barbour County, AL",28866,<2
1005,2000,Alabama,1,"Barbour County, AL",29015,<2
1005,2001,Alabama,1,"Barbour County, AL",28863,<2
1005,2002,Alabama,1,"Barbour County, AL",28653,<2
1005,2003,Alabama,1,"Barbour County, AL",28594,2-3.9
1005,2004,Alabama,1,"Barbour County, AL",28287,2-3.9
1005,2005,Alabama,1,"Barbour County, AL",28027,2-3.9
1005,2006,Alabama,1,"Barbour County, AL",27861,2-3.9
1005,2007,Alabama,1,"Barbour County, AL",27757,2-3.9
1005,2008,Alabama,1,"Barbour County, AL",27808,2-3.9
1005,2009,Alabama,1,"Barbour County, AL",27657,4-5.9
1005,2010,Alabama,1,"Barbour County, AL",27341,4-5.9
1005,2011,Alabama,1,"Barbour County, AL",27226,4-5.9
1005,2012,Alabama,1,"Barbour County, AL",27159,4-5.9
1005,2013,Alabama,1,"Barbour County, AL",26973,4-5.9
1005,2014,Alabama,1,"Barbour County, AL",26815,6-7.9
1005,2015,Alabama,1,"Barbour County, AL",26489,6-7.9
1005,2016,Alabama,1,"Barbour County, AL",25965,6-7.9
1007,1999,Alabama,1,"Bibb County, AL",20560,2-3.9
1007,2000,Alabama,1,"Bibb County, AL",19913,2-3.9
1007,2001,Alabama,1,"Bibb County, AL",21028,4-5.9
1007,2002,Alabama,1,"Bibb County, AL",21199,4-5.9
1007,2003,Alabama,1,"Bibb County, AL",21399,4-5.9
1007,2004,Alabama,1,"Bibb County, AL",21721,4-5.9
1007,2005,Alabama,1,"Bibb County, AL",22042,6-7.9
1007,2006,Alabama,1,"Bibb County, AL",22099,6-7.9
1007,2007,Alabama,1,"Bibb County, AL",22438,6-7.9
1007,2008,Alabama,1,"Bibb County, AL",22705,8-9.9
1007,2009,Alabama,1,"Bibb County, AL",22941,8-9.9
1007,2010,Alabama,1,"Bibb County, AL",22861,10-11.9
1007,2011,Alabama,1,"Bibb County, AL",22733,10-11.9
1007,2012,Alabama,1,"Bibb County, AL",22642,12-13.9
1007,2013,Alabama,1,"Bibb County, AL",22512,12-13.9
1007,2014,Alabama,1,"Bibb County, AL",22549,14-15.9
1007,2015,Alabama,1,"Bibb County, AL",22583,14-15.9
1007,2016,Alabama,1,"Bibb County, AL",22643,16-17.9
1009,1999,Alabama,1,"Blount County, AL",50237,4-5.9
1009,2000,Alabama,1,"Blount County, AL",51107,6-7.9
1009,2001,Alabama,1,"Blount County, AL",51845,6-7.9
1009,2002,Alabama,1,"Blount County, AL",52551,6-7.9
1009,2003,Alabama,1,"Blount County, AL",53457,6-7.9
1009,2004,Alabama,1,"Blount County, AL",54124,8-9.9
1009,2005,Alabama,1,"Blount County, AL",54624,8-9.9
1009,2006,Alabama,1,"Blount County, AL",55485,8-9.9
1009,2007,Alabama,1,"Blount County, AL",56240,10-11.9
1009,2008,Alabama,1,"Blount County, AL",57055,10-11.9
1009,2009,Alabama,1,"Blount County, AL",57341,10-11.9
1009,2010,Alabama,1,"Blount County, AL",57373,12-13.9
1009,2011,Alabama,1,"Blount County, AL",57711,12-13.9
1009,2012,Alabama,1,"Blount County, AL",57776,12-13.9
1009,2013,Alabama,1,"Blount County, AL",57734,14-15.9
1009,2014,Alabama,1,"Blount County, AL",57658,14-15.9
1009,2015,Alabama,1,"Blount County, AL",57673,16-17.9
1009,2016,Alabama,1,"Blount County, AL",57704,16-17.9
1011,1999,Alabama,1,"Bullock County, AL",11755,<2
1011,2000,Alabama,1,"Bullock County, AL",11581,<2
1011,2001,Alabama,1,"Bullock County, AL",11358,<2
1011,2002,Alabama,1,"Bullock County, AL",11256,<2
1011,2003,Alabama,1,"Bullock County, AL",11316,2-3.9
1011,2004,Alabama,1,"Bullock County, AL",11056,2-3.9
1011,2005,Alabama,1,"Bullock County, AL",11011,2-3.9
1011,2006,Alabama,1,"Bullock County, AL",10776,2-3.9
1011,2007,Alabama,1,"Bullock County, AL",11011,2-3.9
1011,2008,Alabama,1,"Bullock County, AL",10953,4-5.9
1011,2009,Alabama,1,"Bullock County, AL",10987,4-5.9
1011,2010,Alabama,1,"Bullock County, AL",10887,4-5.9
1011,2011,Alabama,1,"Bullock County, AL",10629,6-7.9
1011,2012,Alabama,1,"Bullock County, AL",10606,6-7.9
1011,2013,Alabama,1,"Bullock County, AL",10628,6-7.9
1011,2014,Alabama,1,"Bullock County, AL",10829,8-9.9
