Source;Date;Mean
GCAG;1905-09-01;-0.22390000000000002
GCAG;1889-07-01;-0.16040000000000001
GISTEMP;1882-12-01;-0.25
GISTEMP;1975-11-01;-0.16
GCAG;1950-01-01;-0.2777
GCAG;1976-05-01;-0.1228
GCAG;1928-05-01;-0.18660000000000002
GCAG;1895-09-01;-0.13290000000000002
GCAG;1891-07-01;-0.22640000000000002
GISTEMP;1996-04-01;0.38
GCAG;1963-05-01;0.013000000000000001
GISTEMP;1956-03-01;-0.23
GISTEMP;1966-01-01;-0.16
GCAG;1947-07-01;-0.013800000000000002
GISTEMP;1923-08-01;-0.30000000000000004
GCAG;1892-07-01;-0.3497
GCAG;2014-04-01;0.8006000000000001
GISTEMP;2004-07-01;0.26
GCAG;1985-11-01;0.11810000000000001
GCAG;1938-10-01;0.0724
GCAG;1910-03-01;-0.4202
GISTEMP;2005-12-01;0.68
GISTEMP;1925-08-01;-0.19
GISTEMP;1911-06-01;-0.47000000000000003
GISTEMP;1910-07-01;-0.31
GCAG;1882-11-01;-0.1279
GCAG;1984-01-01;0.2831
GISTEMP;1970-01-01;0.09
GISTEMP;1960-03-01;-0.36
GCAG;1927-01-01;-0.1723
GCAG;1896-12-01;0.049
GCAG;1997-12-01;0.6302
GCAG;1990-12-01;0.4481
GISTEMP;1937-09-01;0.14
GCAG;1931-11-01;-0.1139
GCAG;1924-07-01;-0.22160000000000002
GCAG;1920-07-01;-0.2436
GCAG;1905-01-01;-0.354
GISTEMP;1884-11-01;-0.30000000000000004
GISTEMP;1971-04-01;-0.09
GCAG;1960-10-01;0.039
GCAG;1958-01-01;0.2964
GCAG;1920-08-01;-0.2306
GISTEMP;1893-09-01;-0.18
GISTEMP;1986-12-01;0.16
GCAG;1983-11-01;0.4313
GISTEMP;1980-12-01;0.21
GCAG;1995-01-01;0.5487000000000001
GCAG;1964-11-01;-0.20170000000000002
GISTEMP;1960-01-01;-0.01
GCAG;1927-08-01;-0.1145
GISTEMP;1883-06-01;-0.13
GCAG;1893-07-01;-0.2018
GCAG;1956-06-01;-0.1437
GCAG;1997-07-01;0.5101
GISTEMP;1982-09-01;0.15
GISTEMP;1982-04-01;0.1
GCAG;1980-08-01;0.1957
GCAG;1975-08-01;-0.0671
GCAG;1969-09-01;0.0843
GCAG;1956-11-01;-0.1564
GCAG;1951-01-01;-0.2903
GISTEMP;1946-10-01;-0.06
GCAG;2010-04-01;0.8287
GCAG;1943-08-01;0.09920000000000001
GCAG;1932-11-01;-0.1945
GISTEMP;1973-11-01;0.06
GCAG;1967-07-01;-0.0177
GISTEMP;1964-01-01;-0.06
GISTEMP;1957-04-01;-0.04
GISTEMP;1924-07-01;-0.27
GCAG;1972-07-01;0.0639
GCAG;1948-08-01;-0.028200000000000003
GCAG;1923-02-01;-0.3785
GCAG;1955-03-01;-0.30910000000000004
GCAG;1944-08-01;0.28040000000000004
GCAG;1902-04-01;-0.2697
GISTEMP;1887-11-01;-0.25
GISTEMP;1909-02-01;-0.47000000000000003
GCAG;1884-11-01;-0.2692
GCAG;1980-05-01;0.316
GCAG;1974-09-01;-0.042800000000000005
GISTEMP;1962-04-01;0.05
GISTEMP;1924-11-01;-0.23
GCAG;1963-12-01;0.08120000000000001
GCAG;1996-03-01;0.3242
GISTEMP;1975-12-01;-0.17
GCAG;1974-05-01;-0.0246
GISTEMP;1973-02-01;0.30000000000000004
GISTEMP;1901-02-01;-0.05
GISTEMP;2010-05-01;0.75
GCAG;1985-06-01;0.129
GISTEMP;1967-04-01;-0.05
GCAG;1957-01-01;-0.1178
GCAG;2016-06-01;0.9006000000000001
GCAG;1999-09-01;0.3976
GCAG;1958-11-01;0.0896
GISTEMP;1926-10-01;-0.11
GCAG;1884-08-01;-0.26980000000000004
GCAG;2003-02-01;0.5626
GISTEMP;1937-11-01;0.09
GCAG;2005-04-01;0.7314
GCAG;1990-03-01;0.7328
GCAG;1955-12-01;-0.2706
GCAG;1955-06-01;-0.0695
GISTEMP;1924-02-01;-0.27
GCAG;1886-11-01;-0.1952
GCAG;1990-01-01;0.3613
GISTEMP;1980-04-01;0.32
GCAG;1944-02-01;0.3032
GISTEMP;2007-09-01;0.64
GISTEMP;1966-04-01;-0.13
GCAG;1937-12-01;-0.09190000000000001
GCAG;1937-01-01;-0.16840000000000002
GCAG;1931-08-01;0.0047
GCAG;1921-07-01;-0.11230000000000001
GCAG;1918-11-01;-0.1154
GCAG;1917-03-01;-0.4287
GCAG;1889-10-01;-0.1913
GISTEMP;1880-04-01;-0.27
GCAG;2015-01-01;0.8141
GISTEMP;1991-06-01;0.54
GISTEMP;1969-02-01;-0.14
GISTEMP;1959-09-01;-0.06
GISTEMP;1946-06-01;-0.17
GCAG;1895-06-01;-0.2938
GCAG;1891-05-01;-0.1374
GCAG;1937-06-01;0.0126
GCAG;1928-11-01;-0.0679
GCAG;1920-04-01;-0.20980000000000001
GCAG;1989-11-01;0.2541
GCAG;1987-07-01;0.4182
GCAG;1940-10-01;0.0993
GCAG;1939-03-01;-0.1897
GCAG;1935-06-01;-0.1706
GCAG;1927-10-01;0.014
GCAG;1913-11-01;-0.1371
GISTEMP;1913-06-01;-0.46
GISTEMP;1928-02-01;-0.12
GISTEMP;1909-10-01;-0.39
GCAG;1891-11-01;-0.39680000000000004
GCAG;2007-01-01;0.8839
GCAG;1977-08-01;0.1418
GISTEMP;1961-01-01;0.07
GISTEMP;1950-12-01;-0.2
GCAG;1935-11-01;-0.2707
GCAG;1924-05-01;-0.1903
GISTEMP;1916-10-01;-0.28
GISTEMP;1904-09-01;-0.47000000000000003
GCAG;1951-11-01;0.026000000000000002
GCAG;1939-06-01;-0.0077
GCAG;1903-08-01;-0.42960000000000004
GISTEMP;1968-04-01;-0.05
GCAG;1945-05-01;0.1761
GISTEMP;1944-07-01;0.23
GISTEMP;1941-07-01;0.15
GCAG;1933-03-01;-0.24760000000000001
GCAG;1901-10-01;-0.2786
GCAG;1964-01-01;0.0488
GCAG;1921-01-01;-0.059800000000000006
GCAG;1911-05-01;-0.47750000000000004
GISTEMP;1892-12-01;-0.29
GCAG;1887-10-01;-0.2995
GISTEMP;1883-08-01;-0.14
GCAG;2016-10-01;0.7292000000000001
GISTEMP;1978-04-01;0.15
GCAG;1996-07-01;0.32380000000000003
GISTEMP;1983-02-01;0.4
GCAG;2013-12-01;0.6981
GISTEMP;2002-06-01;0.54
GCAG;2001-03-01;0.6293000000000001
GISTEMP;1919-11-01;-0.29
GISTEMP;1903-02-01;-0.06
