,ds,y,src
2161,1880-01-01,-0.30000000000000004,training
777,1880-02-01,-0.21,training
1488,1880-03-01,-0.18,training
119,1880-04-01,-0.27,training
1069,1880-05-01,-0.14,training
1728,1880-06-01,-0.29,training
1510,1880-07-01,-0.24,training
1612,1880-08-01,-0.08,training
1378,1880-09-01,-0.17,training
1208,1880-10-01,-0.16,training
1673,1880-11-01,-0.19,training
2940,1880-12-01,-0.22,training
1173,1881-01-01,-0.1,training
1159,1881-02-01,-0.14,training
3243,1881-03-01,0.01,training
2811,1881-04-01,-0.03,training
270,1881-05-01,-0.04,training
1061,1881-06-01,-0.28,training
1922,1881-07-01,-0.07,training
2027,1881-08-01,-0.03,training
2091,1881-09-01,-0.09,training
3255,1881-10-01,-0.2,training
360,1881-11-01,-0.26,training
2680,1881-12-01,-0.16,training
2776,1882-01-01,0.09,training
2343,1882-02-01,0.08,training
3197,1882-03-01,0.01,training
3135,1882-04-01,-0.2,training
2476,1882-05-01,-0.18,training
2643,1882-06-01,-0.25,training
428,1882-07-01,-0.11,training
2599,1882-08-01,0.03,training
1586,1882-09-01,-0.01,training
178,1882-10-01,-0.23,training
1412,1882-11-01,-0.21,training
2,1882-12-01,-0.25,training
709,1883-01-01,-0.34,training
3067,1883-02-01,-0.42,training
1311,1883-03-01,-0.18,training
3111,1883-04-01,-0.25,training
1113,1883-05-01,-0.26,training
51,1883-06-01,-0.13,training
1250,1883-07-01,-0.09,training
163,1883-08-01,-0.14,training
2463,1883-09-01,-0.19,training
992,1883-10-01,-0.12,training
1814,1883-11-01,-0.21,training
2661,1883-12-01,-0.19,training
1983,1884-01-01,-0.18,training
2775,1884-02-01,-0.13,training
692,1884-03-01,-0.36,training
3242,1884-04-01,-0.36,training
2240,1884-05-01,-0.32,training
2867,1884-06-01,-0.38,training
2234,1884-07-01,-0.35000000000000003,training
2159,1884-08-01,-0.27,training
1219,1884-09-01,-0.24,training
283,1884-10-01,-0.22,training
38,1884-11-01,-0.30000000000000004,training
230,1884-12-01,-0.30000000000000004,training
1318,1885-01-01,-0.66,training
177,1885-02-01,-0.30000000000000004,training
824,1885-03-01,-0.24,training
2128,1885-04-01,-0.45,training
